title,price_pln,brand,model,year,mileage_km,fuel,transmission,image_url
Fiat Panda 4x4 1.2 Benzyna Climbing Kamerka Hak Wspomaganie,9000,,Panda,2006,168500,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/k2wxpdd6us4t2-PL/image;s=4000x3000
Fiat Panda 4x4 1.2 Benzyna Climbing Kamerka Hak Wspomaganie,9000,,Panda,2006,168500,Benzyna,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/k2wxpdd6us4t2-PL/image;s=4000x3000
sprzedam FORD FOKUS,21000,,Focus,2011,187000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/jdqk5vhprduu3-PL/image;s=359x797
sprzedam FORD FOKUS,21000,,Focus,2011,187000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/jdqk5vhprduu3-PL/image;s=359x797
Ford F150 RAPTOR,250000,,F150,2017,122000,Benzyna,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/iqyx96rvm6tg2-PL/image;s=3024x4032
Ford F150 RAPTOR,250000,,F150,2017,122000,Benzyna,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/iqyx96rvm6tg2-PL/image;s=3024x4032
Samochód Alfa Romeo Mito,4500,,Mito,2012,211000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/d7bkdxvqrig2-PL/image;s=4080x2296
Samochód Alfa Romeo Mito,4500,,Mito,2012,211000,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/d7bkdxvqrig2-PL/image;s=4080x2296
Sprzedam Audi A6C7,107000,,A6,2018,160000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/kihzy0zarkpe2-PL/image;s=2000x2667
Sprzedam Audi A6C7,107000,,A6,2018,160000,Diesel,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/kihzy0zarkpe2-PL/image;s=2000x2667
Sprzedam Subaru Forester,26000,,Forester,2008,186000,LPG,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/xuf5vegwh26d1-PL/image;s=1040x780
Sprzedam Subaru Forester,26000,,Forester,2008,186000,LPG,Automatyczna,https://ireland.apollo.olxcdn.com:443/v1/files/xuf5vegwh26d1-PL/image;s=1040x780
Sprzedam VW Touran,15000,,Touran,2007,305040,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/a3vftsk2q46v-PL/image;s=750x1000
Sprzedam VW Touran,15000,,Touran,2007,305040,Diesel,Manualna,https://ireland.apollo.olxcdn.com:443/v1/files/a3vftsk2q46v-PL/image;s=750x1000
